realm,cluster,n_taxa,n_edge,mean_edge,n_lc,n_nt,n_vu,n_en,n_cr,n_hydro,area_km2,bio1_mean,bio1_median,bio1_sd,bio1_min,bio1_max,bio4_mean,bio4_median,bio4_sd,bio4_min,bio4_max,bio12_mean,bio12_median,bio12_sd,bio12_min,bio12_max,end_per,end_km2,No_end_km2,neoend_per,neoend_km2,paleoend_per,paleoend_km2,mixedend_per,mixedend_km2,superend_per,superend_km2
AUST,35,9,0,2.679301216,5,2,0,0,0,10,66570.6,251.1472081,255,17.41462131,212,275,3356.304569,3654,1032.075474,1713,4850,862.9796954,773,299.9110405,471,1331,0.891041992,59317.2,7253.4,0,0,0,0,0.891041992,59317.2,0,0
PALE,36,2,1,3.239325871,1,0,0,1,0,61,442391.3,217.4634465,224,24.149639,113,258,8623.471932,8641.5,277.9324803,7707,9286,163.7826371,130,82.11410796,58,519,0.026368285,11665.1,430726.2,0,0,0,0,0.026368285,11665.1,0,0
NOAM,37,34,8,2.816057404,10,9,8,0,1,200,1668313.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68506255,1142899.1,525414.4,0.163239823,272335.2,0,0,0.473389863,789762.7,0.048432863,80801.2
NOAM,38,19,1,2.63632155,11,2,3,0,0,50,362305.5,197.4804089,199,37.19734988,76,257,4286.015332,3894,1504.252218,1490,7949,715.3245315,660.5,380.0640178,104,2814,0.682568992,247298.5,115007,0.329486304,119374.7,0,0,0.353082689,127923.8,0,0
NOAM,39,9,0,2.566124289,4,0,3,0,0,13,108761.2,215.6288089,215,18.92281548,140,251,4392.279778,4368,646.9173585,2962,6298,200.1357341,156,127.8067807,45,689,1,108761.2,0,0.164319629,17871.6,0,0,0.835680371,90889.6,0,0
NOAM,40,10,1,2.641204632,4,2,2,0,1,33,294320.5,172.3378378,174,40.28485237,59,243,7272.576255,7499.5,951.0283034,5181,9238,257.1013514,220,141.4864919,54,756,0.873577274,257111.7,37208.8,0.187883277,55297.9,0,0,0.685693997,201813.8,0,0
NOAM,41,12,3,2.778726858,7,3,1,0,1,39,303359.2,169.671627,171.5,25.45885378,85,218,6048.220238,6248,1128.04082,3312,7945,345.969246,317,113.4715187,154,835,0.282363284,85657.5,217701.7,0.051271892,15553.8,0,0,0.231091393,70103.7,0,0
NOAM,42,59,15,2.643085859,29,8,13,6,2,850,7651623,91.40342846,79,63.68079871,-36,276,9231.761111,9211.5,2361.236124,893,14260,798.0359888,779,378.4774509,55,3126,0.087973793,673142.3,6978480.7,0.045086879,344987.8,0,0,0.042886914,328154.5,0,0
NOAM,43,17,4,2.67585779,10,3,3,0,0,50,261597.3,208.5192084,216,23.82517994,120,237,5876.172293,6008,944.035019,2275,7582,531.7939464,543,152.5747191,209,958,0.073032099,19105,242492.3,0.073032099,19105,0,0,0,0,0,0
NOAM,44,24,9,2.861519698,11,3,5,2,2,152,1117471.3,100.0765672,97,40.06626757,-9,230,7261.090909,7209,1907.741993,1926,11302,914.7883414,979,517.6368162,69,3287,0.142335468,159055.8,958415.5,0.042180681,47135.7,0,0,0.100154787,111920.1,0,0
NOAM,45,7,1,2.6926723,4,1,0,2,0,3,23586.3,201.9220779,201,15.23220811,166,227,5668.415584,5535,534.3516325,4805,6968,346.8311688,354,62.38408253,224,478,1,23586.3,0,1,23586.3,0,0,0,0,0,0
NOAM,46,6,2,2.962219127,3,0,1,1,1,10,61225.1,185.8866995,184,10.60412634,147,213,5359.995074,5275,498.1636227,4229,6466,332.4334975,322,73.49236682,200,550,1,61225.1,0,0,0,0,0,0.405144295,24805,0.594855705,36420.1
NOAM,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11370.8,0,0,0,0,0,1,11370.8,0,0
SOAM,48,17,5,2.875008503,4,2,6,1,2,56,442035.8,242.5507692,262.5,48.08455512,49,290,499.4315385,455,220.4142347,153,1696,1719.673846,1562,820.1665679,287,4585,0.35853363,158484.7,283551.1,0.11398941,50387.4,0,0,0.24454422,108097.3,0,0
SOAM,49,27,13,3.185502757,11,3,9,0,1,923,8991112.8,249.4750822,258,33.54527553,10,289,706.2732837,567,423.7196687,143,3094,1995.576303,2033,684.5417718,287,5238,0.001686732,15165.6,8975947.2,0.001686732,15165.6,0,0,0,0,0,0
SOAM,50,5,3,2.962460907,2,0,3,0,0,4,44656.8,247.4656489,252,23.22243534,178,277,636.9083969,647,137.4000588,418,899,1269.664122,1286,238.3810979,504,2228,0,0,44656.8,0,0,0,0,0,0,0,0
SOAM,51,25,13,3.163375709,11,4,7,1,0,124,1511536.2,242.4784118,244,15.58332012,169,269,1595.611195,1595,850.0240205,301,3826,1647.708397,1434,686.7615731,534,3639,0,0,1511536.2,0,0,0,0,0,0,0,0
SOAM,52,11,5,2.966535844,7,1,2,0,0,52,389394.5,256.0642361,257,10.52444288,212,275,803.5277778,777,150.3317013,456,1279,1184.563368,1209.5,311.7731685,502,1848,0.189043759,73612.6,315781.9,0,0,0,0,0.189043759,73612.6,0,0
SOAM,53,9,4,2.895642598,6,0,2,1,0,27,100267.6,265.3321918,270,11.99352308,224,279,630.130137,586,225.3506855,325,1592,1357.815068,1347,365.8676831,579,2070,0,0,100267.6,0,0,0,0,0,0,0,0
SOAM,54,10,4,3.168040155,4,2,3,0,1,54,368025.6,220.3411867,228,22.84379453,148,254,1797.378709,1643.5,562.2617424,929,3273,1177.424084,1126,319.402198,671,2313,0.171587792,63148.7,304876.9,0,0,0,0,0.171587792,63148.7,0,0
SOAM,55,14,5,3.053084406,5,3,4,1,1,214,1748615.1,189.9589894,190,22.75106942,127,245,3540.268386,3525,983.1348789,1340,5412,1330.126492,1323,292.2419405,475,2884,0.025580015,44729.6,1703885.5,0,0,0.002495975,4364.5,0.023084039,40365.1,0,0
SOAM,56,4,1,2.823967477,2,1,1,0,0,14,70490.9,229.7953488,232,12.23695096,193,249,1385.213953,1423,160.4619814,928,1625,1113.44186,977,448.5309095,465,2289,0,0,70490.9,0,0,0,0,0,0,0,0
SOAM,57,23,3,2.452756893,4,2,5,4,6,121,1363253.9,176.964393,173.5,44.37084096,-65,252,4860.638567,4991.5,867.0728428,1326,6319,526.2990133,519,266.2397334,74,1388,0.006217844,8476.5,1354777.4,0.006217844,8476.5,0,0,0,0,0,0
