Tree_name,replacement_name
Kinosternon_herrerai_AMNH118236,Kinosternon_herrerai
Kinosternon_hirtipes_5L5L2R,Kinosternon_hirtipes
Kinosternon_integrum_JAC21644,Kinosternon_integrum
Kinosternon_leucostomum_USNM559573,Kinosternon_leucostomum
Kinosternon_oaxacae_HBS120899,Kinosternon_oaxacae
Kinosternon_scorpioides_cruentatum_HBS119039,Kinosternon_scorpioides
Kinosternon_sonoriense_HBS119037,Kinosternon_sonoriense
Kinosternon_subrubrum_HBS119499,Kinosternon_subrubrum
Lepidochelys_olivacea_HBS125086,Lepidochelys_olivacea
Leucocephalon_yuwonoi_HBS118604,Leucocephalon_yuwonoi
Lissemys_punctata_HBS125629,Lissemys_punctata
Lissemys_scutata_USNM520643,Lissemys_scutata
Macrochelys_temminckii_HBS108582,Macrochelys_temminckii
Malaclemys_terrapin_MVZ137745,Malaclemys_terrapin
Malacochersus_tornieri_HBS121010,Malacochersus_tornieri
Malayemys_subtrijuga_FMNH258868,Malayemys_subtrijuga
Manouria_eemys_HBS112449,Manouria_emys
Manouria_impressa_HBS119444,Manouria_impressa
Mauremys_annamensis_FMNH262238,Mauremys_annamensis
Mauremys_caspica_MVZ230212,Mauremys_caspica
Mauremys_japonica_HBS116253,Mauremys_japonica
Mauremys_leprosa_MVZ178059,Mauremys_leprosa
Mauremys_mutica_MVZ230476,Mauremys_mutica
Mauremys_nigricans_LACM183201,Mauremys_nigricans
Mauremys_reevesii_HBS113152,Mauremys_reevesii
Mauremys_rivulata_AMNH168666,Mauremys_rivulata
Mauremys_sinensis_MVZ230479,Mauremys_sinensis
Melanochelys_trijuga_AMNH168668,Melanochelys_trijuga
Mesoclemmys_gibbus_BPN1497,Mesoclemmys_gibbus
Mesoclemmys_hogei_HBS117946,Mesoclemmys_hogei
Mesoclemmys_nasuta_HBS117905,Mesoclemmys_nasuta
Mesoclemmys_zuliae_HBS117467,Mesoclemmys_zuliae
Morenia_ocellata_USNMFS36669,Morenia_ocellata
Morenia_petersi_FMNH260378,Morenia_petersi
Myuchelys_bellii_187,Myuchelys_bellii
Myuchelys_georgesi_154,Myuchelys_georgesi
Myuchelys_latisternum_AMR120997,Myuchelys_latisternum
Myuchelys_purvisi_129,Myuchelys_purvisi
Nilssonia_formosa_HBS125636,Nilssonia_formosa
Nilssonia_gangetica_HBS125646,Nilssonia_gangetica
Nilssonia_hurum_HBS125638,Nilssonia_hurum
Notochelys_platynota_FMNH267641,Notochelys_platynota
Orlitia_borneensis_AMNH166663,Orlitia_borneensis
Palea_steindachneri_HBS119016,Palea_steindachneri
Pangshura_smithii_AMNH166664,Pangshura_smithii
Pangshura_sylhetensis_HBS124028,Pangshura_sylhetensis
Pangshura_tecta_AMCC166665,Pangshura_tecta
Pangshura_tentoria_HBS116255,Pangshura_tentoria
Pelochelys_bibroni_HBS118593,Pelochelys_bibroni
Pelochelys_cantorii_HBS125640,Pelochelys_cantorii
Pelodiscus_sinensis_AMNH106666,Pelodiscus_sinensis
Pelomedusa_ssubrufa_HBS119094,Pelomedusa_subrufa
Peltocephalus_dumerilianus_HBS117944,Peltocephalus_dumerilianus
Pelusios_adansonii_HBS123099,Pelusios_adansonii
Pelusios_bechuanicus_HBS119021,Pelusios_bechuanicus
Pelusios_broadleyi_AMCC183062,Pelusios_broadleyi
Pelusios_carinatus_HBS123638,Pelusios_carinatus
Pelusios_castaneus_CAS219222,Pelusios_castaneus
Pelusios_castanoides_HBS117686,Pelusios_castanoides
Pelusios_chapini_AMCC183067,Pelusios_chapini
Pelusios_gabonensis_ROM19952,Pelusios_gabonensis
Pelusios_niger_HBS125084,Pelusios_niger
Pelusios_rhodesianus_AMCC183070,Pelusios_rhodesianus
Pelusios_sinuatus_HBS112703,Pelusios_sinuatus
Pelusios_subniger_HBS112754,Pelusios_subniger
Pelusios_williamsi_AMCC183072,Pelusios_williamsi
Phrynops_geoffroanus_HBS119012,Phrynops_geoffroanus
Phrynops_hilarii_HBS112452,Phrynops_hilarii
Phrynops_tuberosus_LACM183231,Phrynops_tuberosus
Phrynops_williamsi_HBS123589,Phrynops_williamsi
Platemys_platycephala_HBS121007,Platemys_platycephala
Platysternon_megacephalum_HBS16255,Platysternon_megacephalum
Podocnemis_erythrocephala_HBS116250,Podocnemis_erythrocephala
Podocnemis_expansa_HBS117929,Podocnemis_expansa
Podocnemis_sextuberculata_HBS117925,Podocnemis_sextuberculata
Podocnemis_unifilis_HBS119089,Podocnemis_unifilis
Podocnemis_vogli_AMCC183078,Podocnemis_vogli
Psammobates_oculifer_HBS118601,Psammobates_oculifer
Psammobates_tverroxi_HBS112455,Psammobates_tentorius
Pseudemys_alabamensis_HBS117816,Pseudemys_alabamensis
Pseudemys_cfloridana_HBS108682,Pseudemys_floridana
Pseudemys_concinna_HBS117856,Pseudemys_concinna
Pseudemys_csuwanniensis_HBS108591,Pseudemys_concinna_suwanniensis
Pseudemys_gorzugi_HBS117907,Pseudemys_gorzugi
Pseudemys_nelsoni_HBS108599,Pseudemys_nelsoni
Pseudemys_peninsularis_CRI13953,Pseudemys_peninsularis
Pseudemys_rubriventris_USNM544373,Pseudemys_rubriventris
Pseudemys_texana_RCT2,Pseudemys_texana
Pyxis_aarachnoides_HBS117734,Pyxis_arachnoides
Pyxis_planicauda_HBS117740,Pyxis_planicauda
Rafetus_sp_AMNH200163,Rafetus_sp
Rheodytes_leukops_239,Rheodytes_leukops
Rhinoclemmys_annulata_USNM281878,Rhinoclemmys_annulata
Rhinoclemmys_areolata_HBS108667,Rhinoclemmys_areolata
Rhinoclemmys_diademata_HBS118631,Rhinoclemmys_diademata
Rhinoclemmys_funerea_USNM559587,Rhinoclemmys_funerea
Rhinoclemmys_melanosterna_HBS118626,Rhinoclemmys_melanosterna
